name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Balogun,ARS,FWD,4.5,Available,0,0,0,0.0,2.0
Cédric,ARS,DEF,4.0,Available,223,10,0,1.2,0.4
M.Elneny,ARS,MID,4.5,Available,111,6,0,1.2,0.2
Fábio Vieira,ARS,MID,5.5,Available,500,40,2,1.8,0.1
Gabriel,ARS,DEF,5.0,Available,3409,146,15,3.8,17.2
Havertz,ARS,MID,7.5,Available,2565,102,13,2.9,6.2
Holding,ARS,DEF,4.5,Available,562,21,0,1.5,0.2
G.Jesus,ARS,FWD,8.0,Available,2064,125,17,4.8,32.2
Jorginho,ARS,MID,5.5,Available,2127,79,5,2.5,0.3
Kiwior,ARS,DEF,4.5,Available,425,26,1,3.7,0.2
Marquinhos,ARS,MID,4.5,Available,1,1,0,1.0,0.1
Martinelli,ARS,MID,8.0,Available,2789,198,18,5.5,14.0
Nketiah,ARS,FWD,5.5,Available,1071,63,5,2.1,0.8
Ødegaard,ARS,MID,8.5,Available,3132,212,30,5.7,20.3
Thomas,ARS,MID,5.0,Available,2480,86,6,2.6,0.2
Pepe,ARS,MID,5.0,Available,0,0,0,0.0,0.1
Ramsdale,ARS,GKP,5.0,Available,3420,143,9,3.8,27.9
Rúnarsson,ARS,GKP,4.0,Available,0,0,0,0.0,0.3
Saka,ARS,MID,8.5,Available,3183,202,19,5.3,51.1
Saliba,ARS,DEF,5.0,Available,2415,117,14,4.3,14.9
Sambi,ARS,MID,5.0,Available,728,23,0,1.5,0.0
Smith Rowe,ARS,MID,5.5,Available,161,18,0,1.5,0.2
Tavares,ARS,DEF,4.0,Available,0,0,0,0.0,0.3
Tierney,ARS,DEF,4.5,Available,774,37,0,1.4,0.3
Tomiyasu,ARS,DEF,4.5,Available,651,32,0,1.5,0.2
Trossard,ARS,MID,7.0,Available,2237,154,8,4.3,2.7
Trusty,ARS,DEF,4.0,Available,0,0,0,0.0,0.2
Turner,ARS,GKP,4.0,Available,0,0,0,0.0,0.4
White,ARS,DEF,5.5,Available,3054,156,12,4.1,10.1
Xhaka,ARS,MID,6.0,NotAvail,2992,153,15,4.1,0.4
Zinchenko,ARS,DEF,5.0,Available,2122,99,8,3.7,13.7
Nelson,ARS,MID,5.0,Available,202,42,5,3.8,0.0
J.Timber,ARS,DEF,5.0,Available,0,0,0,0.0,0.2
Alex Moreno,AVL,DEF,5.0,Doubtful,1325,72,5,3.8,0.5
Archer,AVL,FWD,4.5,Available,43,6,0,1.0,6.7
Bailey,AVL,MID,5.5,Available,1964,100,6,3.0,0.8
Buendia,AVL,MID,6.0,Available,2404,117,8,3.1,0.4
Cash,AVL,DEF,4.5,Available,1817,57,3,2.2,3.7
Chambers,AVL,DEF,4.0,Available,345,13,0,0.9,1.1
Coutinho,AVL,MID,6.0,Available,777,32,1,1.6,0.4
Davis,AVL,FWD,5.0,Available,0,0,0,0.0,0.2
Dendoncker,AVL,MID,5.0,Available,897,37,0,1.5,0.1
Diego Carlos,AVL,DEF,4.5,Available,205,4,0,1.3,0.5
Digne,AVL,DEF,4.5,Available,1492,50,4,1.8,0.9
Douglas Luiz,AVL,MID,5.5,Available,2922,142,17,3.8,2.7
Duran,AVL,FWD,5.0,Available,126,11,0,0.9,0.1
Hause,AVL,DEF,4.0,Available,0,0,0,0.0,0.2
Iroegbunam,AVL,MID,4.5,Available,0,0,0,0.0,0.1
Kamara,AVL,MID,5.0,Available,1773,44,0,1.8,0.1
Konsa,AVL,DEF,4.5,Available,3322,110,6,2.9,0.9
Martinez,AVL,GKP,5.0,Available,3139,135,15,3.8,8.2
McGinn,AVL,MID,5.5,Available,2692,90,3,2.6,0.4
Mings,AVL,DEF,4.5,Available,3150,130,17,3.7,15.9
Nakamba,AVL,MID,4.5,Available,0,0,0,0.0,0.3
Olsen,AVL,GKP,4.0,Available,280,10,1,2.5,0.8
Philogene,AVL,MID,4.5,Available,0,0,0,0.0,0.1
J.Ramsey,AVL,MID,6.0,Available,2634,135,13,3.9,2.2
Sanson,AVL,MID,4.5,Available,10,2,0,1.0,0.1
Sinisalo,AVL,GKP,4.0,Available,0,0,0,0.0,0.1
Tielemans,AVL,MID,6.0,Available,2341,86,6,2.8,1.2
Bertrand Traoré,AVL,MID,5.0,Available,226,20,1,2.5,0.1
Watkins,AVL,FWD,8.0,Available,3129,175,25,4.7,14.1
Wesley,AVL,FWD,5.0,Available,0,0,0,0.0,0.1
Pau,AVL,DEF,4.5,Available,0,0,0,0.0,1.4
Anthony,BOU,MID,5.0,Available,1241,61,4,2.0,0.2
Billing,BOU,MID,5.5,Available,2766,126,14,3.5,1.0
Brooks,BOU,MID,5.0,Available,170,5,0,0.8,0.1
Christie,BOU,MID,5.0,Available,1825,64,2,2.0,0.1
L.Cook,BOU,MID,5.0,Available,1712,51,1,1.8,0.0
Siriki,BOU,MID,4.5,Available,104,6,0,1.0,0.1
Fredericks,BOU,DEF,4.5,Available,527,12,0,1.0,0.2
Hill,BOU,DEF,4.0,Available,0,0,0,0.0,0.3
Kelly,BOU,DEF,4.5,Available,2040,60,5,2.6,0.2
Kilkenny,BOU,MID,4.5,Available,0,0,0,0.0,0.1
Kluivert,BOU,MID,5.0,Available,0,0,0,0.0,1.6
Lowe,BOU,MID,5.0,Available,11,2,0,1.0,0.0
Marcondes,BOU,MID,4.5,Available,8,1,0,1.0,0.0
Mepham,BOU,DEF,4.5,Available,2197,43,6,1.7,0.1
Moore,BOU,FWD,5.0,Available,1269,57,3,2.1,0.5
Neto,BOU,GKP,4.5,Available,2385,93,9,3.4,0.9
O.Dango,BOU,MID,5.0,Available,1239,49,4,2.6,0.1
Pearson,BOU,MID,4.5,NotAvail,282,9,0,1.3,0.1
Randolph,BOU,GKP,4.0,Available,0,0,0,0.0,0.4
Rothwell,BOU,MID,5.0,Available,1010,33,0,1.6,0.0
Semenyo,BOU,FWD,4.5,Available,250,18,1,1.6,1.9
Senesi,BOU,DEF,4.5,Available,2489,69,5,2.2,0.2
Smith,BOU,DEF,4.5,Available,2940,74,5,2.0,0.2
Solanke,BOU,FWD,6.5,Available,2865,130,14,3.9,2.8
Tavernier,BOU,MID,5.5,Available,1740,94,12,4.1,0.3
Hamed Traorè,BOU,MID,5.0,Available,425,14,0,2.0,0.1
Travers,BOU,GKP,4.0,Available,1035,28,1,2.3,3.2
Zabarnyi,BOU,DEF,4.5,Available,297,7,0,1.4,0.1
Ajer,BRE,DEF,4.5,Available,763,29,0,3.2,0.3
Balcombe,BRE,GKP,4.0,Available,0,0,0,0.0,0.5
Baptiste,BRE,MID,4.5,Available,600,29,0,1.3,6.0
Bech,BRE,DEF,4.0,Available,18,4,0,1.0,0.2
Bidstrup,BRE,MID,4.5,Available,0,0,0,0.0,0.1
Canós,BRE,MID,5.0,Available,73,5,0,1.0,0.1
Collins,BRE,DEF,4.5,Available,1811,49,6,1.9,0.6
Cox,BRE,GKP,4.0,Available,0,0,0,0.0,0.1
Damsgaard,BRE,MID,5.0,Available,970,33,0,1.3,0.1
Dasilva,BRE,MID,5.0,Available,1371,81,3,2.2,0.4
Dervişoğlu,BRE,FWD,4.5,Available,6,4,0,4.0,0.4
Flekken,BRE,GKP,4.5,Available,0,0,0,0.0,3.7
Goode,BRE,DEF,4.0,Available,0,0,0,0.0,0.2
Henry,BRE,DEF,4.5,Available,3240,112,4,3.0,6.1
Hickey,BRE,DEF,4.5,Available,1918,63,2,2.4,0.4
Janelt,BRE,MID,5.5,Available,2201,85,5,2.4,0.1
Jensen,BRE,MID,5.5,Available,2805,132,11,3.6,0.9
Lewis-Potter,BRE,MID,5.0,Available,313,14,0,1.4,0.0
Mbeumo,BRE,MID,6.5,Available,2905,150,19,3.9,26.3
Mee,BRE,DEF,5.0,Available,3269,143,11,3.9,7.4
Nørgaard,BRE,MID,5.5,Available,1763,71,6,3.2,0.2
Onyeka,BRE,MID,5.0,Available,837,38,0,1.8,0.0
Pinnock,BRE,DEF,4.5,Available,2700,112,6,3.7,1.8
Raya,BRE,GKP,5.0,Available,3420,166,20,4.4,11.0
Roerslev,BRE,DEF,4.5,Available,1101,48,0,2.4,0.1
Schade,BRE,MID,5.5,Available,723,29,0,1.6,0.2
Strakosha,BRE,GKP,4.0,Available,0,0,0,0.0,0.6
Toney,BRE,FWD,8.0,Suspended,2953,182,35,5.5,0.5
Trevitt,BRE,MID,4.5,Available,0,0,0,0.0,0.1
Wissa,BRE,FWD,6.0,Available,1587,111,6,2.9,3.8
Yarmolyuk,BRE,MID,4.5,Available,0,0,0,0.0,1.1
Zanka,BRE,DEF,4.5,Available,1097,45,4,2.5,0.1
Adingra,BHA,MID,5.0,Available,0,0,0,0.0,0.1
Alzate,BHA,MID,4.5,Available,0,0,0,0.0,0.1
Ayari,BHA,MID,4.5,Available,65,3,0,1.0,0.1
Buonanotte,BHA,MID,5.0,Available,558,26,2,2.0,0.1
Caicedo,BHA,MID,5.0,Available,3138,79,0,2.1,2.4
Connolly,BHA,FWD,4.5,Available,0,0,0,0.0,0.4
Dahoud,BHA,MID,5.0,Available,0,0,0,0.0,0.2
